id,id_category,name,id_brand
218,19,Autentica ETAM 29.510.SB Bean to Cup Coffee Machine - Silver & Black,61
219,19,VCF126 Barista Max Coffee Machine - Stainless Steel,71
220,19,One-Touch CoffeeHouse II VCF146 Coffee Machine - Grey,71
221,19,by Bosch Style TAS1104GB Coffee Machine - White,68
222,20,Vengeance Pro RGB DDR4 3600 MHz PC RAM - 16 GB x 2,75
223,20,Vengeance LPX DDR4 3200 MHz PC RAM - 16 GB x 2,75
224,20,Vengeance Pro RGB DDR4 3200 MHz PC RAM - 8 GB x 2,75
225,20,Vengeance LPX DDR4 3200 MHz PC RAM - 8 GB x 2,75
226,20,Vengeance Pro RGB DDR4 3200 MHz PC RAM - 8 GB x 2,75
227,20,Vengeance LPX DDR4 3000 MHz PC RAM - 8 GB x 2,75
228,20,Vengeance Pro RGB DDR4 3600 MHz PC RAM - 8 GB x 2,75
229,20,Vengeance Pro RGB DDR4 3200 MHz PC RAM - 16 GB x 2,75
230,20,Vengeance LPX DDR4 3600 MHz PC RAM - 8 GB x 2,75
231,20,XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 8 GB,74
232,20,DDR3 1600 MHz PC RAM - 8 GB,75
233,20,Dominator Platinum RGB DDR5 5600 MHz PC RAM - 2 x 16 GB,75
234,20,XLR8 DDR4 3200 MHz PC RAM - 16 GB x 2,74
235,20,DDR3 1333 MHz Mac RAM - 8 GB,75
236,20,XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 16 GB,74
237,20,XLR8 EPIC-X RGB DDR4 3200 MHz PC RAM - 16 GB x 2,74
238,20,FURY DDR4 3200 MHz PC RAM - 8 GB x 2,73
239,20,XLR8 EPIC-X RGB DDR4 3600 MHz PC RAM - 8 GB x 2,74
240,20,DDR3 1600 MHz PC RAM - 4 GB,75
241,20,XLR8 DDR4 3200 MHz PC RAM - 8 GB x 2,74
242,21,Xbox Series X & 3 Month Game Pass Ultimate Bundle - 1 TB,76
243,21,Xbox Series S - 512 GB SSD,76
244,21,Switch OLED - White,78
245,21,Switch - Neon Red & Blue,78
246,21,Switch OLED - Neon Red & Blue,78
247,21,"Xbox Series X, Seagate 1 TB Expansion Hard Drive & 3 Month Game Pass Ultimate Bundle",76
248,21,Switch - Grey,78
249,21,SHIELD TV PRO 4K Media Streaming Device - 16 GB,77
250,21,Switch Neon Red & Mario Kart 8 Deluxe Bundle,78
251,21,"Switch, Animal Crossing, Mario Kart 8, Minecraft & 256 GB Memory Card Bundle - Neon Red & Blue",78
